Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","PinHeader_1x02_P2.54mm_Vertical",221.625000,-63.300000,180.000000,bottom
"C1","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",215.100000,-25.800000,-90.000000,bottom
"C2","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",213.200000,-25.600000,-90.000000,bottom
"C3","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",214.600000,-53.800000,90.000000,bottom
"C4","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",226.075000,-96.900000,0.000000,bottom
"C5","1nF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",226.074999,-95.300000,0.000000,bottom
"C6","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",260.325000,-119.600000,-90.000000,bottom
"C7","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",253.800000,-64.600000,-90.000000,bottom
"C8","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.475001,-95.300000,0.000000,bottom
"C9","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",245.600000,-90.500000,0.000000,bottom
"C10","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",245.900000,-61.400000,0.000000,bottom
"C11","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",245.900000,-63.600000,0.000000,bottom
"C12","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",252.600000,-75.600000,0.000000,bottom
"C13","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",252.600000,-73.200000,0.000000,bottom
"C14","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",228.700000,-63.600000,180.000000,bottom
"C15","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",235.600000,-73.300000,180.000000,bottom
"C16","10uF_16V_0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",235.600000,-75.400000,180.000000,bottom
"C17","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.600000,-129.211297,180.000000,bottom
"C18","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.100000,-118.711297,90.000000,bottom
"C19","1nF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.600000,-117.411297,180.000000,bottom
"C20","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.900000,-119.611297,180.000000,bottom
"C21","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.437499,-105.611297,180.000000,bottom
"C22","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.000000,-94.500000,90.000000,bottom
"C23","1nF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.300000,-93.711297,180.000000,bottom
"C24","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.300000,-95.611297,180.000000,bottom
"C25","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.900001,-83.042702,180.000000,bottom
"C26","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",151.900000,-72.000000,90.000000,bottom
"C27","1nF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.400001,-71.142702,180.000000,bottom
"C28","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.200000,-73.211297,180.000000,bottom
"C29","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.600001,-65.042702,180.000000,bottom
"C30","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",143.962502,-55.642702,0.000000,bottom
"C32","1uF_16V_0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.400001,-55.542702,180.000000,bottom
"D1","MBR1045CS","TO-252-3_TabPin2",223.660000,-81.112500,180.000000,bottom
"D2","BZT52C10S","D_SOD-323_HandSoldering",233.700000,-63.600000,0.000000,bottom
"J1","BM03B-SRSS-TB","BM03BSRSSTB",165.800000,-26.925000,0.000000,bottom
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",242.000000,-53.610000,0.000000,bottom
"R1","5.1k_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",214.100000,-32.700000,-90.000000,bottom
"R2","5.1k_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.700000,-32.700000,-90.000000,bottom
"R3","5.1k_0.1W_0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.200000,-51.200000,0.000000,bottom
