Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16",0805,8,10uF_16V_0805,
"C17, C18, C2, C20, C21, C22, C24, C25, C26, C28, C29, C3, C30, C32, C4, C6, C7, C8, C9",0603,19,1uF_16V_0603,
"C19, C23, C27, C31, C5",0603,5,1nF_16V_0603,
D1,TO-252-3_TabPin2,1,MBR1045CS,C2898534
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D17, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D18, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D19, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D20, D200, D201, D202, D203, D204, D205, D206, D207, D208, D209, D21, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D22, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D23, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D24, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D25, D250, D251, D252, D253, D254, D255, D256, D257, D258, D259, D26, D260, D261, D262, D263, D264, D265, D266, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40",NHB2020RGBAHF,200,LED_RBAG,C2874116
D2,D_SOD-323_HandSoldering,1,BZT52C10S,C571388
"D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",NHB2020RGBAHF,64,LED_RBAG,C2874116
J1,BM03BSRSSTB,1,BM03B-SRSS-TB, C160389
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P, C709357
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
"R1, R10, R11, R14, R16, R2, R3, R4, R5, R6, R7, R9",0603,12,5.1k_0.1W_0603,
"R12, R13, R15, R8",0603,4,3.3k_0.1W_0603,
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88",0603,72,100R_0.1W_0603,
"SW1, SW2, SW3, SW4",Button-TSA008A187,4,SW_Push,C2888423
SW5,SS12D10L5,1,SS-12D10L5, C319012
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U2,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,ICM-20602, C97633
"U3, U5",SOT-223-3_TabPin2,2,AMS1117,C347224
U4,SOT-23-6,1,USBLC6-2SC6,C7519
"U6, U7, U8, U9",QFN40P500X500X100-41N-D,4,PLP5860RKPR,
